Zip Code,Year,Month,ZHVI,Date,Cluster,Data_Source,ZHVI_Upper,ZHVI_Lower
19102,2021,3,418091,3/1/2021,7,Historical,418091,418091
19102,2021,4,418088,4/1/2021,7,Historical,418088,418088
19102,2021,5,417966,5/1/2021,7,Historical,417966,417966
19102,2021,6,417423,6/1/2021,7,Historical,417423,417423
19102,2021,7,414960,7/1/2021,7,Historical,414960,414960
19102,2021,8,413228,8/1/2021,7,Historical,413228,413228
19102,2021,9,410080,9/1/2021,7,Historical,410080,410080
19102,2021,10,408663,10/1/2021,7,Historical,408663,408663
19102,2021,11,406526,11/1/2021,7,Historical,406526,406526
19102,2021,12,405694,12/1/2021,7,Historical,405694,405694
19102,2022,1,404432,1/1/2022,7,Historical,404432,404432
19102,2022,2,403332,2/1/2022,7,Historical,403332,403332
19102,2022,3,402839,3/1/2022,7,Historical,402839,402839
19102,2022,4,403926,4/1/2022,7,Historical,403926,403926
19102,2022,5,405409,5/1/2022,7,Historical,405409,405409
19102,2022,6,407415,6/1/2022,7,Historical,407415,407415
19102,2022,7,407144,7/1/2022,7,Historical,407144,407144
19102,2022,8,405502,8/1/2022,7,Historical,405502,405502
19102,2022,9,401507,9/1/2022,7,Historical,401507,401507
19102,2022,10,398399,10/1/2022,7,Historical,398399,398399
19102,2022,11,395515,11/1/2022,7,Historical,395515,395515
19102,2022,12,391044,12/1/2022,7,Historical,391044,391044
19102,2023,1,385106,1/1/2023,7,Historical,385106,385106
19102,2023,2,379507,2/1/2023,7,Historical,379507,379507
19102,2023,3,377036,3/1/2023,7,Historical,377036,377036
19102,2023,4,376606,4/1/2023,7,Historical,376606,376606
19102,2023,5,377791,5/1/2023,7,Historical,377791,377791
19102,2023,6,379613,6/1/2023,7,Historical,379613,379613
19102,2023,7,381144,7/1/2023,7,Historical,381144,381144
19102,2023,8,381003,8/1/2023,7,Historical,381003,381003
19102,2023,9,379801,9/1/2023,7,Historical,379801,379801
19102,2023,10,378066,10/1/2023,7,Historical,378066,378066
19102,2023,11,377075,11/1/2023,7,Historical,377075,377075
19102,2023,12,376545,12/1/2023,7,Historical,376545,376545
19102,2024,1,377670,1/1/2024,7,Historical,377670,377670
19102,2024,2,378311,2/1/2024,7,Historical,378311,378311
19102,2024,3,379393,3/1/2024,7,Historical,379393,379393
19102,2024,4,379307,4/1/2024,7,Historical,379307,379307
19102,2024,5,379373,5/1/2024,7,Historical,379373,379373
19102,2024,6,378008,6/1/2024,7,Historical,378008,378008
19102,2024,7,377089,7/1/2024,7,Historical,377089,377089
19102,2024,8,376133,8/1/2024,7,Historical,376133,376133
19102,2024,9,376210,9/1/2024,7,Historical,376210,376210
19102,2024,10,375882,10/1/2024,7,Historical,375882,375882
19102,2024,11,375557,11/1/2024,7,Historical,375557,375557
19102,2024,12,375227,12/1/2024,7,Historical,375227,375227
19102,2025,1,374590,1/1/2025,7,Historical,374590,374590
